No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
155,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] 10234</a>",110.66500,-73.50172,G,1600892.00,5.34,PSE,,4.894,1,0,0,1,1,0,0
156,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] F200DA-006</a>",110.66813,-73.50286,G,3147821.00,10.5,PSE,,4.912,1,0,0,1,1,0,0
157,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HOO2023] SMACS_z16b</a>",110.66487,-73.50228,G,4541856.00,15.15,PSE,,4.921,1,0,0,1,1,0,0
158,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072516.93-732354.3</a>",111.32079,-73.39842,G,10389.00,0.034653,PUN,,8.425,1,0,27,4,1,2,0
159,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072054.14-733000.5</a>",110.22542,-73.50003,G,33481.00,0.111682,PUN,,11.268,1,0,27,4,1,2,0
160,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072608.40-732752.4</a>",111.53508,-73.46461,G,25143.00,0.083868,PUN,,11.8,1,0,27,4,1,2,0
161,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072252.67-733847.6</a>",110.71958,-73.64636,G,17635.00,0.058824,PUN,,12.611,2,0,27,4,1,2,0
162,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072603.10-732048.4</a>",111.51304,-73.34681,G,7068.00,0.023576,SLS,16.0b,12.653,3,0,31,5,3,2,0
163,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072048.51-732017.4</a>",110.20292,-73.33778,G,19350.00,0.064545,SLS,18.8b,12.669,2,0,27,4,3,2,0
164,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J072218.36-734001.4</a>",110.57658,-73.66706,G,24957.00,0.083246,PUN,,14.425,1,0,27,4,1,2,0
165,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MASX J07212356-7314160</a>",110.34788,-73.23772,G,59231.00,0.197572,PUN,,14.873,1,0,15,3,1,2,0
